#输入参数
样品名称,Bi0.3Sb1.7Te3-cross-plane
纵波声速,2372.0
横波声速,1483.0
样品密度,4.85
相对原子质量,652.469
化学式中原子数目,5.0
 , 
#输出结果
平均原子体积(A^3),44.6783614276228
原子数密度(A^-3),0.022382199526720808
非晶极限恒定值版(W/m/K),0.23588477243663508
温度,非晶极限(W/m/K)
635.0,0.235248
636.0,0.235250
637.0,0.235252
638.0,0.235254
639.0,0.235256
640.0,0.235258
641.0,0.235260
642.0,0.235262
643.0,0.235263
644.0,0.235265
645.0,0.235267
646.0,0.235269
647.0,0.235271
648.0,0.235273
649.0,0.235275
650.0,0.235277
651.0,0.235279
652.0,0.235280
653.0,0.235282
654.0,0.235284
655.0,0.235286
656.0,0.235288
657.0,0.235290
658.0,0.235291
659.0,0.235293
660.0,0.235295
661.0,0.235297
662.0,0.235299
663.0,0.235300
664.0,0.235302
665.0,0.235304
666.0,0.235306
667.0,0.235307
668.0,0.235309
669.0,0.235311
670.0,0.235312
671.0,0.235314
672.0,0.235316
673.0,0.235317
674.0,0.235319
675.0,0.235321
676.0,0.235323
677.0,0.235324
678.0,0.235326
679.0,0.235327
680.0,0.235329
681.0,0.235331
682.0,0.235332
683.0,0.235334
684.0,0.235336
685.0,0.235337
686.0,0.235339
687.0,0.235340
688.0,0.235342
689.0,0.235343
690.0,0.235345
691.0,0.235347
692.0,0.235348
693.0,0.235350
694.0,0.235351
695.0,0.235353
696.0,0.235354
697.0,0.235356
698.0,0.235357
699.0,0.235359
700.0,0.235360
701.0,0.235362
702.0,0.235363
703.0,0.235365
704.0,0.235366
705.0,0.235368
706.0,0.235369
707.0,0.235371
708.0,0.235372
709.0,0.235374
710.0,0.235375
711.0,0.235376
712.0,0.235378
713.0,0.235379
714.0,0.235381
715.0,0.235382
716.0,0.235383
717.0,0.235385
718.0,0.235386
719.0,0.235388
720.0,0.235389
721.0,0.235390
722.0,0.235392
723.0,0.235393
724.0,0.235394
725.0,0.235396
726.0,0.235397
727.0,0.235398
728.0,0.235400
729.0,0.235401
730.0,0.235402
731.0,0.235404
732.0,0.235405
733.0,0.235406
734.0,0.235408
735.0,0.235409
736.0,0.235410
737.0,0.235412
738.0,0.235413
739.0,0.235414
740.0,0.235415
741.0,0.235417
742.0,0.235418
743.0,0.235419
744.0,0.235420
745.0,0.235422
746.0,0.235423
747.0,0.235424
748.0,0.235425
749.0,0.235427
750.0,0.235428
751.0,0.235429
752.0,0.235430
753.0,0.235431
754.0,0.235433
755.0,0.235434
756.0,0.235435
757.0,0.235436
758.0,0.235437
759.0,0.235439
760.0,0.235440
761.0,0.235441
762.0,0.235442
763.0,0.235443
764.0,0.235444
765.0,0.235446
766.0,0.235447
767.0,0.235448
768.0,0.235449
769.0,0.235450
770.0,0.235451
771.0,0.235452
772.0,0.235453
773.0,0.235455
774.0,0.235456
775.0,0.235457
776.0,0.235458
777.0,0.235459
778.0,0.235460
779.0,0.235461
780.0,0.235462
781.0,0.235463
782.0,0.235464
783.0,0.235465
784.0,0.235466
785.0,0.235468
786.0,0.235469
787.0,0.235470
788.0,0.235471
789.0,0.235472
790.0,0.235473
791.0,0.235474
792.0,0.235475
793.0,0.235476
794.0,0.235477
795.0,0.235478
796.0,0.235479
797.0,0.235480
798.0,0.235481
799.0,0.235482
